filename,original,descriptions
img_0010,Path on integral \eqref{29} and \eqref{30}.,"A 3D sphere with labeled axes x, y and z extending outward. A point $\varphi_0$ is marked at the center. Two dashed curves, labeled $\Gamma_a$ and $\Gamma_b$, loop from the top to the bottom of the sphere, passing through points $\xi_p'$ and $\xi_q'$ along the z-axis.These curves suggest a cut through the sphere. A radius vector r extends from the center toward the surface in the y-direction. The surface of the sphere is lightly shaded in gray."
img_0011,"tikz tree use pic as tree node
 
 This question does not aim to explore something meaningful, but just for some interest.
 Is there a way to use a pic as a ""tree node"" directly? It means that I can reference the named node or coordinate in pic after the tree has been draw.
 Consider following pic just for example:
 \documentclass[tikz, border=1cm]{standalone}
 \makeatletter
 \tikzset{
 test n/.store in=\test@n,
 test n=3,
 test/.pic={
 \foreach \x [evaluate=\x as \ang using (\x-1)*360/\test@n] in {1, ..., \test@n} {
 \draw (0, 0) -- (\ang:5mm) coordinate (-\x);
 }
 }
 }
 \makeatother
 
 \begin{document}
 \begin{tikzpicture}
 \pic (a) [test n=6] {test};
 \draw[red] (a-1) -- (a-2);
 \end{tikzpicture}
 \end{document}
 
 
 I'd like to use this pic in several nodes of the tree and reference the coordinates such as (a-1) after, is there a possible way to make it?","A tree diagram with a top node labeled ""root"". The root splits into two branches and the right branch further splits into two. Each node contains a symmetric star structure of three straight lines with a red line connecting the ends of two lines. The exception is the bottom-right node, which has four straight lines and no red connecting line."
img_0012,"Mixed graph (A) representing a model with $d = 5$ variables and with a diagonal $C$-matrix. The edge labels of the directed (blue) edges are the values of the non-zero entries in the $M$-matrix, while all the blunt (red) edges correspond to the diagonal entries of $C$ all being $1$. The mixed graph (B) is the same as (A) but with all directed self-loops removed. We call (B) the base graph of (A).","Two directed graphs,labeled (A) on the left and (B) on the right. Each graph consists of five nodes numbered 1 to 5 and blue arrows, labeled with weights, connect the nodes. In both graphs, node 1 points to node 2 with weight -1 and node 2 points back to node 1 with weight 1. Node 3 has outgoing edges to node 2 (0.2) and node 5 (1). Node 4 points to node 1 with weight 0.2 and to node 3 with weight -0.5. Node 5 connects to node 4 with weight 1. All nodes feature red curved lines that loop from and to the same node without arrows. The difference between the two graphs is that graph (A) includes additional blue self-loops. Node 1 has a self-loop labeled -1, node 4 has a self-loop labeled -1 and node 5 has a self-loop labeled -1."
img_0013,Timing of decisions and outcomes.,"A horizontal timeline representing a decision making process. Each step in the process is marked along a horizontal line, with the labels alternating above and below the line. It begins with ""ex ante disclosure"" above the line and continues with ""the patient chooses a"" below. The next step is ""$\theta$ is observed if a = 1"", followed by ""interim disclosure"". At the midpoint the step ""anticipatory utility realized"" is marked and a vertical dashed line marks the division between Date 1 (left) and Date 2 (right). The timeline continues with ""the patient chooses e"" and finally ""the outcome reveals"". Arrows below the timeline indicate the span of Date 1 and Date 2."
img_0014,Workflow to obtain a Feasible Planning Region,"The figure shows a workflow that begins with ""Input data"" and ""Initialization"", followed by a loop involving ""Grid variation"", ""Generation of a Feasible Operation Region"" and ""Generation of a Feasible Planning Region"" within a gray block labeled ""Computation"". After each iteration, the system checks if ""grid refinement"" is needed. If true, the process loops back, if false the final output is produced."
img_0015,Effect of network coding on large network sizes (A:analytical and H:Heuristic),"The figure shows a graph illustrating the relationship between network size (x axis, ranging from 0 to 140 nodes) and power savings (y axis, measured in percentage from 0-50). Above the x-axis is a legend placed with the symbols line (red), ring (black) and star (blue) under two scenarios labeled (A) and (H). Across both scenarios, the line achieves the highest power saving, followed closely by the ring, while the star consistently shows the least power savings. The shape of the curves resembles logarithmic functions."
img_0016,"Draw octagon with color node at middle edges
 
 I would like to draw three pictures in TikZ but I don't know how to do it.","Two geometric figures, an octagon on the left and a square on the right. Each vertex is marked with a black dot, connecting the vertex from each figure with black undirected lines. At the midpoint of each edge, a red dot is placed. Additionally, a green dot is positioned at the exact center of each figure."
img_0017,"How to draw a “halftone” spiral made of circles in LaTeX?
 
 I would like to use LaTeX to draw a spiral like the one below, but it's way out of my league. Any help would be much appreciated.
 
 NEW EDIT: (now with a better 3d look!) after playing a bit with Jasper Habicht's solution, this was the best I could get up to now. I'm pretty happy. Thank you!
 
 My customized version of Jasper Habicht's solution! (Give him a “up” vote!)
 % Credits to Jasper Habicht (See below)
 \documentclass[tikz]{standalone}
 \usetikzlibrary{calc}
 
 \begin{document}
 
 \definecolor{mygreencolor}{RGB}{133,196,96} 
 
 \begin{tikzpicture}
 
 \pgfmathsetmacro\maxradius{.3}
 \pgfmathsetmacro\inner{10}
 \pgfmathsetmacro\outer{40}
 \pgfmathsetmacro\range{\outer-\inner}
 
 \foreach \stepy in {\inner, ..., \outer}
 \pgfmathsetmacro\stepstart{60/\stepy}
 \pgfmathsetmacro\steplast{360-\stepstart}
 \pgfmathsetmacro\stepcount{floor(360/\stepstart)} 
 \foreach \stepx in {0, \stepstart, ..., \steplast}
 \pgfmathsetmacro\stepsingle{floor(\stepx/\stepstart)}
 \pgfmathsetmacro\stepradius{(\maxradius/2)*sin(deg(\stepsingle*pi/(\stepcount/2) - pi - (\stepy/5))) + (\maxradius/2)+0.13}
 \pgfmathsetmacro\mybase{90*(\stepy-\inner)/\range)}
 \pgfmathsetmacro\mycoef{((1-cos(\mybase)+sin(\mybase))/2}
 \pgfmathsetmacro\mystepy{\inner+\range*\mycoef}
 \fill[mygreencolor] ({-(\stepx+.25*\stepcount)}:-\mystepy mm) circle (\stepradius mm);
 
 \end{tikzpicture}
 
 \end{document}","The figure shows a radial halftone dot pattern. The pattern consists of green dots arranged in a spiral pattern around a central white circle, giving the appearance of a donut. The dots vary in size and density, with the smaller ones near the inner and outer edges and the larger ones more closely in the middle band, creating a dynamic gradient effect."
img_0018,A directed acyclic graph with one confounder and one instrumental variable.,"A directed acyclic graph where each edge represents a variable. At node Z, which has an arrow labeled $c_3$ pointing to X. Node X is connected to Y with an arrow labeled $c_0$. Additionally U has two outgoing arrows, one labeled $c_1$ directed to X and the other labeled $c_2$ directed to Y. Together X,Y,U form a triangle, while Z only connects to X."
img_0019,Schematics,"A directed graph illustrating two paths from vertex v at the top to vertex w at the bottom. The graph is divided into two horizontal sections, separated by dashed lines. The top section is labeled as $m_{2j+1} - m_{2j}$, while the lower section is labeled as $m_{2j+2} - m_{2j+1}$. One path is colored red and the other in blue and each path edge is indicated by a square in their respective color. Each intersection point between the two paths is marked with a black dot."
img_0020,"Pictured is the domain and codomain of a pinched polynomial-like map. Here, $\Int{P_2}$ is the interior of the black polygon with three corners (marked in red). The interior of the blue pinched polygon is $\Int{P_1}$. The pinched point and the additional corner points of $P_1$ are marked in green.","A square with a gray background and the word ""Image"" written in bold at the center. The square is divided by lines: one vertical, one horizontal and two diagonals forming eight triangular sections. Two points are labeled, $P_1$ in the lower left triangle and $P_2$ in the upper left triangle."
img_0021,"Why can't I give a coordinate an alias using ""late options""?
 
 Here is a small document:
 \documentclass{standalone}
 
 \usepackage{tikz}
 
 \begin{document}
 
 \begin{tikzpicture}
 %\coordinate (A) at (0, 0); % Line A
 %\node [coordinate] (A) at (0, 0) {}; % Line B
 %\node (A) at (0, 0) {}; % Line C
 %\coordinate [alias=AA] (A) at (0, 0); % Line D
 %\node [coordinate, alias=AA] (A) at (0, 0) {}; % Line E
 %\path (A) [late options = {alias=AA}]; % Line ABC
 \coordinate (B) at (1, 0);
 \draw (AA) -- (B);
 \end{tikzpicture}
 
 \end{document}
 
 Uncomment lines A and ABC and you get ""Package pgf Error: No shape named AA is known.""Re-comment line A and uncomment line B and you get the same result.Re-comment line B and uncomment line C and the document compiles successfully.Re-comment lines C and ABC and uncomment line D and the document compiles successfully.Re-comment line D and uncomment line E and the document compiles successfully.
 It seems that if a node is of shape coordinate, you can give it an alias, but not using the late options mechanism. If you try to do it with late options, TikZ doesn't report an error, but it doesn't do anything.
 I am using PGF/TikZ version 2.10.",The figure shows a rectangle positioned horizontally on a white background. The rectangle is completely filled with black.
img_0022,fallen leaf,"A geometrical structure composed of five brown vertical beams, all connecting to a diagonal orange line that descend from the top left to the bottom right. At each end of the line there is an orange platform, forming the start and end points of the diagonal connection. The orange platforms has jagged edges at both ends."
img_0023,"Overlapping labels in PSTricks
 
 Consider the following example.
 \documentclass{beamer}
 
 \usepackage[locale = DE]{siunitx}
 \usepackage{xfp}
 \usepackage{etoolbox}
 \usepackage{pstricks-add}
 \usepackage{tikz}
 
 \psset{dimen = m}
 
 % data
 \def\bredde{4.5}
 \def\start{0}
 \def\eleverNul{4}
 \def\eleverEn{2}
 \def\eleverTo{5}
 \def\eleverTre{7}
 \def\eleverFire{5}
 \def\eleverFem{3}
 % beregninger
 \newcommand*\eleverSumNul{\eleverNul}
 \newcommand*\eleverSumEn{\fpeval{\eleverSumNul+\eleverEn}}
 \newcommand*\eleverSumTo{\fpeval{\eleverSumEn+\eleverTo}}
 \newcommand*\eleverSumTre{\fpeval{\eleverSumTo+\eleverTre}}
 \newcommand*\eleverSumFire{\fpeval{\eleverSumTre+\eleverFire}}
 \newcommand*\eleverSumFem{\fpeval{\eleverSumFire+\eleverFem}}
 \newcommand*\eleverTotal{\fpeval{\eleverSumFem}}
 \def\andelB[#1]#2#3#4{%
 \pswedge[fillstyle = solid, fillcolor = #1]%
 {\radius}{\fpeval{round(#2/\eleverTotal*360,9)}}{\fpeval{round(#3/\eleverTotal*360,9)}}
 \ifstrequal{#1}{black}%
 {\psarc[linecolor = white]%
 (0,0){0.5}{\fpeval{round(#2/\eleverTotal*360,9)}}{\fpeval{round(#3/\eleverTotal*360,9)}}
 \uput{8pt}[\fpeval{round((#2+#3)/\eleverTotal*180,9)}]%
 (0,0){\textcolor{white}{\footnotesize\SI{\fpeval{round((#3-#2)/\eleverTotal*360)}}{\degree}}}}
 {\psarc%
 (0,0){0.5}{\fpeval{round(#2/\eleverTotal*360,9)}}{\fpeval{round(#3/\eleverTotal*360,9)}}
 \uput{8pt}[\fpeval{round((#2+#3)/\eleverTotal*180,9)}]%
 (0,0){\footnotesize\SI{\fpeval{round((#3-#2)/\eleverTotal*360)}}{\degree}}}%
 }
 
 
 \begin{document}
 
 \begin{frame}{Opgave~$7$}
 \begin{center}
 \psset{
 unit = 0.4,
 linejoin = 1
 }
 \def\radius{5}
 \begin{pspicture}(\fpeval{-(\radius+0.1)},\fpeval{-(\radius+0.1)})%
 (\fpeval{+(\radius+0.1)},\fpeval{+(\radius+0.1)})
 \visible<4->{%
 \pscircle(0,0){\radius}
 \multido{\r = 0+\fpeval{round(360/\eleverTotal,9)}}{\eleverTotal}{%
 \psRelLine[angle = \r](0,0)(\fpeval{\radius+0.1},0){1}{EndNode}
 \psRelLine[angle = \r, linecolor = white, linewidth = 2\pslinewidth]%
 (0,0)(\fpeval{\radius-0.1},0){1}{EndNode}}}
 \visible<5->{\andelB[yellow!70]{\start}{\eleverSumNul}}
 \visible<6->{\andelB[red!70]{\eleverSumNul}{\eleverSumEn}}
 \visible<7->{\andelB[green!80]{\eleverSumEn}{\eleverSumTo}}
 \visible<8->{\andelB[orange!80]{\eleverSumTo}{\eleverSumTre}}
 \visible<9->{\andelB[blue!70!white]{\eleverSumTre}{\eleverSumFire}}
 \visible<10->{\andelB[black]{\eleverSumFire}{\eleverSumFem}}
 \end{pspicture}
 \end{center}
 \end{frame}
 
 \end{document}
 
 
 Question
 As can be seen, the 28° label is not printed ""on top"" of the green wedge. (It is of course the same of the other labels.)
 How do I make sure that the labels are always printed ""on top""?","The figure shows a pie chart with a gray circle outline around its center, marked with degree values to each segment. The chart is divided into six colored section, with the following angles: orange 97\degree, green 69\degree, red 28\degree, yellow 55\degree, black 42\degree and blue 69\degree. In the top left corner the pie chart is labeled ""Opgave 7""."
img_0024,"How can I specify the coordinates in a boxplot as black dots?
 
 How can I specify the coordinates (here outliers) as black dots? The color in the square brackets is already defined as black, if I insert ""mark=*"" in the square brackets the boxplots disappear.
 \documentclass{article}
 \usepackage[utf8]{inputenc}
 \usepackage{pgfplots}
 \usepackage{tikz}
 \usepgfplotslibrary{groupplots}
 \usepgfplotslibrary{statistics}
 \pgfplotsset{compat=1.3}
 
 \begin{document}
 \begin{tikzpicture} 
 \begin{axis}
 [
 boxplot/draw direction=y,
 xtick={1,2},
 ymin={0},
 ymax={890000},
 ]
 \addplot+[color=black, 
 boxplot prepared={
 median=231040,
 upper quartile=307800,
 lower quartile=189576,
 upper whisker=568892,
 lower whisker=92821
 },
 ] coordinates {(1,790724)(1,603189)(1,574542)};
 
 \addplot+[color=black, 
 boxplot prepared={
 median=290626,
 lower whisker=97525,
 lower quartile=218151,
 upper quartile=379487,
 upper whisker=674757
 },
 ] coordinates {(3,835414)(3,752967)(3,737438)(3,737438)};
 \end{axis}
 \end{tikzpicture}
 \end{document}","A boxplot that compares two datasets labeled as 1 and 2 on the x axis. The y-axis represents values on the scale of 0 to 8 x $10^5$. Both boxes are located between 2 x $10^5$ and 4 x $10^5$. The horizontal line inside each box represent the median of the data, while the whiskers extend to the minimum and maximum values within the standard range. Outliers are marked as black dots above the boxes. Box 2 appears to have a higher median than box 1 and also contains more outliers at higher values."
img_0025,An automaton $\mathcal D$ admitting two distinct minimum-size e.c. decompositions.,"An automaton with four states labeled as 0, 1, 2, and 3. The initial state is 0, as indicated by the incoming arrow labeled ""start"". From state 0, the automaton transition to state 1 on input a, to state 2 on input b or f and to state 3 on input g. State 1 has a self-loop on input c, state 2 loops back to itself on inputs c or d and state 3 has a self loop on input d. States 1, 2 and 3 are indicated by double circles around it."
img_0026,"Specify Radius for a cylinder, or draw edge for two 3d circles
 
 I want to plot an optical fiber as in the picture below:
 
 As you can see, the drawing is composed of three concentric cylinders of different radii. This question is about drawing just one of those, say the right, small radius one.
 My code up until now is this:
 \documentclass[border=5pt]{standalone}
 \usepackage{tikz}
 \begin{document}
 \usetikzlibrary{3d}
 \begin{tikzpicture}
 %Opaque frame so it is easier to get the 3d visualization.
 \begin{scope}[opacity=0.3]
 \draw(-0.25,1,1) -- (0.25,1,1);
 \draw(-0.25,1,1) -- (-0.25,1,-1);
 \draw(-0.25,1,1) -- (-0.25,-1,1);
 \draw(0.25,1,1) -- (0.25,1,-1);
 \draw(0.25,1,1) -- (0.25,-1,1);
 \draw(0.25,1,-1) -- (-0.25,1,-1);
 \draw(0.25,1,-1) -- (0.25,-1,-1);
 \draw(-0.25,1,-1) -- (-0.25,-1,-1);
 \draw(-0.25,-1,1) -- (0.25,-1,1);
 \draw(0.25,-1,-1) -- (0.25,-1,1);
 \draw(0.25,-1,-1) -- (-0.25,-1,-1);
 \draw(-0.25,-1,-1) -- (-0.25,-1,1);
 \end{scope}
 % Draw the cylinder planes
 \begin{scope}[canvas is zy plane at x=0.25]
 \draw (0,0) circle (1);
 \end{scope}
 \begin{scope}[canvas is zy plane at x=-0.25]
 \draw (0,0) circle (1);
 \end{scope}
 % Draw the edges, this is the tricky part.
 \draw (-0.25,1,0) -- (0.25,1,0);
 \end{tikzpicture}
 \end{document}
 
 output:
 
 As you can see this last command that makes a straight line from the upper visible part from right to left is not actually where it should be. Any one have an idea on how to parametrically derive the ""correct 3d"" coordinates for this kind of lines?
 Alternatively, I tried working with shapes.geometric and its cylinder primitive:
 \documentclass[border=5pt]{standalone}
 \usepackage{tikz}
 \begin{document}
 \usetikzlibrary{3d}
 \usetikzlibrary {shapes.geometric}
 \begin{tikzpicture}
 \begin{scope}[opacity=0.3]
 \draw(-0.25,1,1) -- (0.25,1,1);
 \draw(-0.25,1,1) -- (-0.25,1,-1);
 \draw(-0.25,1,1) -- (-0.25,-1,1);
 \draw(0.25,1,1) -- (0.25,1,-1);
 \draw(0.25,1,1) -- (0.25,-1,1);
 \draw(0.25,1,-1) -- (-0.25,1,-1);
 \draw(0.25,1,-1) -- (0.25,-1,-1);
 \draw(-0.25,1,-1) -- (-0.25,-1,-1);
 \draw(-0.25,-1,1) -- (0.25,-1,1);
 \draw(0.25,-1,-1) -- (0.25,-1,1);
 \draw(0.25,-1,-1) -- (-0.25,-1,-1);
 \draw(-0.25,-1,-1) -- (-0.25,-1,1);
 \end{scope}
 
 \node[cylinder,draw,minimum height=0.5cm,minimum width=1] (c) {};
 \end{tikzpicture}
 \end{document}
 
 output:
 
 Well not bad, but I have two questions about its specification:
 
 How to set its front and ens planes?
 How to set its radius to be equal to 2 so to fill up this rectangular prism's height and width? How to specify its depth to be equal to 0.5, as the prism's depth?","A 3D illlustration of three overlapping , horizontally aligned cylinders, each partially transparent to reveal the structure within. At the center lies the longest cylinder in solid gray. Encasing this core is a shorter, transparent red cylinder that partially overlaps it. Enveloping both is a transparent blue cylinder, which is the widest of the three but also the shortest."
img_0027,"Illustration of the worst case instance for the greedy algorithm. $l = 1, \cdots, L$.","An illustration of the worst case instance for the greedy algorithm. It uses horizontal brackets to visually represent the number of items assigned to each owner. Owners 1 through M is assigned N items, depicted as long horizontal brackets. These brackets are the same size and aligned horizontally. Owner M + 1 receives N + 1 items, indicated by shorter more fragmented brackets. The number of items continues to decrease, reaching owner M + l who receives $N(1 - \frac{1}{M}^{l-1}+1$ items."
